group;comments;too much movement;Time;ID;gender;Trials;acc_go;acc_nogo;rt_go;wave;schoolstart;year;ExactAge_T1;ExactAge_T2;Con_acc_t1;InCon_acc_t1;Mix_acc_t1;MixCon_Acc_t1;MixInCon_Acc_t1;Con_CorrRTmean_t1;Incon_CorrRTmean_t1;Mix_CorrRTmean_t1;MixCon_CorrRTmean_t1;MixInCon_CorrRTmean_t1
3;0;;2;1146;1;166;0.925;0.675;874.94;2;Oct - Dec 2008;2015;5.327857632;6.477754962;0.95;0.95;0.85;0.8;0.9;727.32;814.53;1075.53;1148.5;1010.67
2;;;2;1147;1;166;0.925;0.75;760.68;2;Oct - Dec 2008;2014;5.53045859;6.50513347;1;1;0.9;1;0.8;556.95;761.95;1120.17;1112.6;1129.63
2;at T1 only run1;;2;1148;1;166;0.95;0.55;754.34;2;Oct - Dec 2008;2014;5.442847365;6.420260096;1;0.95;0.8;0.9;0.7;455.6;586.32;954.56;955;954
3;few button presses. only run 1;T1.T2;2;1151;1;166;0.775;0.6;740;1;Jan - March 2008 (Wave 1);2014;5.207392197;6.32991102;0.9;0.7;0.8;0.8;0.8;808.06;893.29;1256.63;1183.63;1329.63
3;;;2;1153;1;166;0.991666667;0.6;673;1;Jan - March 2008 (Wave 1);2014;5.366187543;6.491444216;0.9;0.9;0.7;0.8;0.6;584.39;683.28;1382.14;1505.88;1217.17
2;1;;2;1154;1;166;1;0.85;759;1;Jan - March 2008 (Wave 1);2013;5.240246407;6.182067077;1;0.95;0.9;0.9;0.9;456.2;575.53;861.78;969.89;753.67
3;;;2;1155;1;;;;;1;Jan - March 2008 (Wave 1);2014;5.336071184;6.483230664;0.95;0.65;0.5;0.4;0.6;557.21;571.08;1351.5;1363.5;1343.5
3;only 1 run;;2;1157;1;166;0.983333333;0.425;811;1;Jan - March 2008 (Wave 1);2014;5.347022587;6.381930185;0.95;0.95;0.75;0.8;0.7;490.95;702.58;919.67;895.75;947
3;;;2;1159;1;166;0.916666667;0.725;656.12;2;Jan - March 2009;2015;5.210130048;6.362765229;1;1;0.5;NA;NA;491.55;610.2;984.8;NA;NA
3;;;2;1160;1;166;0.841666667;0.675;640.89;2;Jan - March 2009;2015;5.212867899;6.29705681;0.95;1;0.8;0.7;0.9;460.53;597.95;888.25;950;840.22
